,S_no,center_id,center_name,csa,cva,hol,awareness,crowd
402,402,104,KMCH,58,5,0,0.19,0.2580403114457642
403,403,104,KMCH,161,178,0,0.19,0.23403848444771935
404,404,104,KMCH,126,18,0,0.19,0.3214282980722344
405,405,104,KMCH,87,58,0,0.19,0.32821939021329644
406,406,104,KMCH,196,63,0,0.19,0.21733930676724814
407,407,104,KMCH,176,141,0,0.19,0.23254002308157246
408,408,104,KMCH,190,138,0,0.19,0.20752053288263628
409,409,104,KMCH,173,186,0,0.19,0.20038023272399746
410,410,104,KMCH,199,199,0,0.19,0.1434713754139175
411,411,104,KMCH,129,5,0,0.19,0.304552614617417
412,412,104,KMCH,189,161,0,0.19,0.1988832914290049
413,413,104,KMCH,170,7,0,0.19,0.2782368818724694
414,414,104,KMCH,32,197,0,0.19,0.2832174412646291
415,415,104,KMCH,103,17,0,0.19,0.2405898785155624
416,416,104,KMCH,91,137,0,0.19,0.2600766255649324
417,417,104,KMCH,119,95,0,0.19,0.1666737493697072
418,418,104,KMCH,63,94,0,0.19,0.2868719674839838
419,419,104,KMCH,195,79,0,0.19,0.1905546384009406
420,420,104,KMCH,59,194,0,0.19,0.2922619385311528
421,421,104,KMCH,8,137,0,0.19,0.4307105567523884
422,422,104,KMCH,144,60,0,0.19,0.20412574631567193
423,423,104,KMCH,110,68,0,0.19,0.19892788173542003
424,424,104,KMCH,192,168,0,0.19,0.19360482818356517
425,425,104,KMCH,14,155,0,0.19,0.26877038624155203
426,426,104,KMCH,52,161,0,0.19,0.33122100081816686
427,427,104,KMCH,0,161,0,0.19,0.40330173872564734
428,428,104,KMCH,17,8,0,0.19,0.36905855120868664
429,429,104,KMCH,61,19,0,0.19,0.2599926678041821
430,430,104,KMCH,30,46,0,0.19,0.2955429578908137
431,431,104,KMCH,187,125,0,0.19,0.2025523268368249
432,432,104,KMCH,90,154,0,0.19,0.19998651814910176
433,433,104,KMCH,176,128,0,0.19,0.22845463845485586
434,434,104,KMCH,37,80,0,0.19,0.26539710740732214
435,435,104,KMCH,199,125,0,0.19,0.2324378217111396
436,436,104,KMCH,184,145,0,0.19,0.18969078347872653
437,437,104,KMCH,10,163,0,0.19,0.4124268183712705
438,438,104,KMCH,19,40,0,0.19,0.395362061403645
439,439,104,KMCH,128,63,0,0.19,0.191579123874865
440,440,104,KMCH,125,112,0,0.19,0.22903328917214488
441,441,104,KMCH,65,73,0,0.19,0.30712618663240226
442,442,104,KMCH,175,52,0,0.19,0.27338213548723506
443,443,104,KMCH,93,29,0,0.19,0.22348732590523057
444,444,104,KMCH,20,177,0,0.19,0.37255575871249047
445,445,104,KMCH,128,43,0,0.19,0.22981101417432234
446,446,104,KMCH,17,143,0,0.19,0.39662907201305886
447,447,104,KMCH,117,141,0,0.19,0.25615023510626117
448,448,104,KMCH,152,158,0,0.19,0.23730789228558702
449,449,104,KMCH,138,13,0,0.19,0.25320318766198524
450,450,104,KMCH,37,32,1,0.19,0.6410532321094511
451,451,104,KMCH,167,11,1,0.19,0.4969061072299328
452,452,104,KMCH,16,24,1,0.19,0.5498847012658428
453,453,104,KMCH,172,113,1,0.19,0.530657198301945
454,454,104,KMCH,27,150,1,0.19,0.5825682916119395
455,455,104,KMCH,16,106,1,0.19,0.5424173630241209
456,456,104,KMCH,15,163,1,0.19,0.48850103992133553
457,457,104,KMCH,152,88,1,0.19,0.42172316780345376
458,458,104,KMCH,0,181,1,0.19,0.49383373482209236
459,459,104,KMCH,184,56,1,0.19,0.42191320048484804
460,460,104,KMCH,119,91,1,0.19,0.4485372278451326
461,461,104,KMCH,48,58,1,0.19,0.6186530618428636
462,462,104,KMCH,98,4,1,0.19,0.4363336210816678
463,463,104,KMCH,66,114,1,0.19,0.5232554987004268
464,464,104,KMCH,94,112,1,0.19,0.4730320066785139
465,465,104,KMCH,37,113,1,0.19,0.7016187009164563
466,466,104,KMCH,40,72,1,0.19,0.5872402871911266
467,467,104,KMCH,131,102,1,0.19,0.42670724393353815
468,468,104,KMCH,57,133,1,0.19,0.5714657961853293
469,469,104,KMCH,59,38,1,0.19,0.4763073930134528
470,470,104,KMCH,175,33,1,0.19,0.48484698034271495
471,471,104,KMCH,134,28,1,0.19,0.5291031088894411
472,472,104,KMCH,3,62,1,0.19,0.5691133419174443
473,473,104,KMCH,147,76,1,0.19,0.4257792348510571
474,474,104,KMCH,56,29,1,0.19,0.48030418140274844
475,475,104,KMCH,68,57,1,0.19,0.5468249671875223
476,476,104,KMCH,95,86,1,0.19,0.478894824454827
477,477,104,KMCH,136,13,1,0.19,0.43342242796324004
478,478,104,KMCH,117,192,1,0.19,0.45386459482691355
479,479,104,KMCH,136,172,1,0.19,0.3933613172487241
480,480,104,KMCH,56,131,1,0.19,0.578002981249815
481,481,104,KMCH,177,20,1,0.19,0.4753426138391048
482,482,104,KMCH,129,180,1,0.19,0.40562441735404825
483,483,104,KMCH,168,52,1,0.19,0.42318186215337544
484,484,104,KMCH,193,78,1,0.19,0.40207714512367804
485,485,104,KMCH,199,42,1,0.19,0.40851042611820043
486,486,104,KMCH,10,194,1,0.19,0.5746560166324061
487,487,104,KMCH,168,9,1,0.19,0.5494239563129967
488,488,104,KMCH,146,197,1,0.19,0.40156962666305235
489,489,104,KMCH,60,29,1,0.19,0.4958434363922033
490,490,104,KMCH,53,53,1,0.19,0.4975878140854719
491,491,104,KMCH,39,48,1,0.19,0.5475682535826449
492,492,104,KMCH,162,75,1,0.19,0.4858271046543776
493,493,104,KMCH,175,182,1,0.19,0.39988041110722267
494,494,104,KMCH,197,139,1,0.19,0.39327405009462646
495,495,104,KMCH,94,20,1,0.19,0.588194389619791
496,496,104,KMCH,176,125,1,0.19,0.44569853466487014
497,497,104,KMCH,137,43,1,0.19,0.3967346204085674
498,498,104,KMCH,147,176,1,0.19,0.3957296078205253
499,499,104,KMCH,151,96,1,0.19,0.4675841840499813
500,500,105,GKNM Hospital,137,46,0,0.22,0.19303319967694965
501,501,105,GKNM Hospital,102,44,0,0.22,0.23795523539516739
502,502,105,GKNM Hospital,189,147,0,0.22,0.24077994569880096
503,503,105,GKNM Hospital,54,61,0,0.22,0.3309117497455938
504,504,105,GKNM Hospital,26,34,0,0.22,0.28968149607047056
505,505,105,GKNM Hospital,52,194,0,0.22,0.2735148154065389
506,506,105,GKNM Hospital,116,110,0,0.22,0.19843855761390627
507,507,105,GKNM Hospital,135,191,0,0.22,0.18229443540664894
508,508,105,GKNM Hospital,141,167,0,0.22,0.17651137431530056
509,509,105,GKNM Hospital,72,66,0,0.22,0.3341212518297716
510,510,105,GKNM Hospital,5,41,0,0.22,0.3532248664326285
511,511,105,GKNM Hospital,102,200,0,0.22,0.17663771110504178
512,512,105,GKNM Hospital,130,22,0,0.22,0.2982157029844862
513,513,105,GKNM Hospital,2,40,0,0.22,0.33045927020217675
514,514,105,GKNM Hospital,52,56,0,0.22,0.30983536778240633
515,515,105,GKNM Hospital,102,46,0,0.22,0.28876559955084524
516,516,105,GKNM Hospital,142,195,0,0.22,0.15853877362080893
517,517,105,GKNM Hospital,114,77,0,0.22,0.2519700164396599
518,518,105,GKNM Hospital,18,137,0,0.22,0.382330614541607
519,519,105,GKNM Hospital,102,15,0,0.22,0.2777922295916804
520,520,105,GKNM Hospital,112,183,0,0.22,0.1756126748336931
521,521,105,GKNM Hospital,119,57,0,0.22,0.2576280245126005
522,522,105,GKNM Hospital,125,164,0,0.22,0.22671322881239842
523,523,105,GKNM Hospital,5,167,0,0.22,0.25230105140784836
524,524,105,GKNM Hospital,139,181,0,0.22,0.17633420663283633
525,525,105,GKNM Hospital,16,63,0,0.22,0.3633576406411797
526,526,105,GKNM Hospital,34,129,0,0.22,0.26884603473641744
527,527,105,GKNM Hospital,138,54,0,0.22,0.21114080203825322
528,528,105,GKNM Hospital,80,43,0,0.22,0.23112378021139368
529,529,105,GKNM Hospital,194,23,0,0.22,0.27038399874458574
530,530,105,GKNM Hospital,55,110,0,0.22,0.26041082193722187
531,531,105,GKNM Hospital,176,17,0,0.22,0.3107753345007823
532,532,105,GKNM Hospital,103,178,0,0.22,0.23270279413179096
533,533,105,GKNM Hospital,167,99,0,0.22,0.18020646605576301
534,534,105,GKNM Hospital,48,16,0,0.22,0.3614912078334813
535,535,105,GKNM Hospital,74,109,0,0.22,0.21561797483437223
536,536,105,GKNM Hospital,135,51,0,0.22,0.23429384825285465
537,537,105,GKNM Hospital,168,167,0,0.22,0.18758733187039128
538,538,105,GKNM Hospital,188,80,0,0.22,0.18650054743765945
539,539,105,GKNM Hospital,35,42,0,0.22,0.32352105072948056
540,540,105,GKNM Hospital,126,149,0,0.22,0.2599082428514095
541,541,105,GKNM Hospital,151,28,0,0.22,0.3516360577114105
542,542,105,GKNM Hospital,7,177,0,0.22,0.4072414366343434
543,543,105,GKNM Hospital,117,126,0,0.22,0.3126187297501124
544,544,105,GKNM Hospital,51,94,0,0.22,0.24028164441652128
545,545,105,GKNM Hospital,44,14,0,0.22,0.42994832908372693
546,546,105,GKNM Hospital,53,78,0,0.22,0.28097331376198237
547,547,105,GKNM Hospital,35,17,0,0.22,0.30397500502197683
548,548,105,GKNM Hospital,173,8,0,0.22,0.23892387447540014
549,549,105,GKNM Hospital,39,139,0,0.22,0.2408318793079458
550,550,105,GKNM Hospital,23,72,1,0.22,0.4530320257294875
551,551,105,GKNM Hospital,78,125,1,0.22,0.5213056148986865
552,552,105,GKNM Hospital,117,57,1,0.22,0.4785175780010455
553,553,105,GKNM Hospital,109,140,1,0.22,0.5075411970663348
554,554,105,GKNM Hospital,146,33,1,0.22,0.45835132244007526
555,555,105,GKNM Hospital,76,113,1,0.22,0.5568021332904731
556,556,105,GKNM Hospital,180,176,1,0.22,0.42505639455959837
557,557,105,GKNM Hospital,151,21,1,0.22,0.4884556072807643
558,558,105,GKNM Hospital,155,176,1,0.22,0.43471338035108115
559,559,105,GKNM Hospital,111,68,1,0.22,0.5025482504054756
560,560,105,GKNM Hospital,34,186,1,0.22,0.5419840039301506
561,561,105,GKNM Hospital,65,132,1,0.22,0.5742332408969383
562,562,105,GKNM Hospital,183,119,1,0.22,0.46267466669105406
563,563,105,GKNM Hospital,186,7,1,0.22,0.4549452519749849
564,564,105,GKNM Hospital,178,150,1,0.22,0.433733050833389
565,565,105,GKNM Hospital,127,144,1,0.22,0.4477058242601009
566,566,105,GKNM Hospital,161,58,1,0.22,0.45690282608161636
567,567,105,GKNM Hospital,103,166,1,0.22,0.43649179400021193
568,568,105,GKNM Hospital,158,149,1,0.22,0.4811825094594971
569,569,105,GKNM Hospital,184,41,1,0.22,0.4029902008821336
570,570,105,GKNM Hospital,45,173,1,0.22,0.4405649851680169
571,571,105,GKNM Hospital,84,95,1,0.22,0.4248062338404996
572,572,105,GKNM Hospital,47,28,1,0.22,0.5675676260579565
573,573,105,GKNM Hospital,169,124,1,0.22,0.5124035831344348
574,574,105,GKNM Hospital,124,82,1,0.22,0.41978184349181735
575,575,105,GKNM Hospital,32,102,1,0.22,0.5421098485760392
576,576,105,GKNM Hospital,190,93,1,0.22,0.3940701980607063
577,577,105,GKNM Hospital,136,50,1,0.22,0.47631943773257396
578,578,105,GKNM Hospital,43,113,1,0.22,0.562569483441526
579,579,105,GKNM Hospital,95,158,1,0.22,0.4603737813700937
580,580,105,GKNM Hospital,53,177,1,0.22,0.466972653988665
581,581,105,GKNM Hospital,28,26,1,0.22,0.5164067614555359
582,582,105,GKNM Hospital,184,96,1,0.22,0.4244070456983807
583,583,105,GKNM Hospital,32,175,1,0.22,0.54365125450427
584,584,105,GKNM Hospital,189,57,1,0.22,0.4401021104311842
585,585,105,GKNM Hospital,168,153,1,0.22,0.48148099494042224
586,586,105,GKNM Hospital,161,143,1,0.22,0.44101112856138147
587,587,105,GKNM Hospital,161,175,1,0.22,0.3910670887337744
588,588,105,GKNM Hospital,120,3,1,0.22,0.48208931653526266
589,589,105,GKNM Hospital,106,136,1,0.22,0.48708224748946843
590,590,105,GKNM Hospital,77,194,1,0.22,0.4306874193685224
591,591,105,GKNM Hospital,56,160,1,0.22,0.5206648689097741
592,592,105,GKNM Hospital,150,147,1,0.22,0.42156793920823304
593,593,105,GKNM Hospital,173,21,1,0.22,0.42977736153256413
594,594,105,GKNM Hospital,20,183,1,0.22,0.5585333923911782
595,595,105,GKNM Hospital,159,101,1,0.22,0.4246204158044574
596,596,105,GKNM Hospital,52,71,1,0.22,0.4530651209302378
597,597,105,GKNM Hospital,138,20,1,0.22,0.49512409940797475
598,598,105,GKNM Hospital,87,70,1,0.22,0.46294054218473357
599,599,105,GKNM Hospital,199,10,1,0.22,0.5230673073338037
600,600,106,GEM Hospital,83,43,0,0.14,0.30605651991788957
601,601,106,GEM Hospital,53,19,0,0.14,0.23905978740069228
602,602,106,GEM Hospital,112,134,0,0.14,0.28297655052794257
603,603,106,GEM Hospital,123,125,0,0.14,0.2516818291720611
604,604,106,GEM Hospital,8,147,0,0.14,0.3491357675840104
605,605,106,GEM Hospital,41,144,0,0.14,0.27035478214986247
606,606,106,GEM Hospital,132,117,0,0.14,0.22165548382169664
607,607,106,GEM Hospital,193,148,0,0.14,0.2147339608673534
608,608,106,GEM Hospital,172,3,0,0.14,0.2828757988016132
609,609,106,GEM Hospital,151,151,0,0.14,0.24458566273916388
610,610,106,GEM Hospital,163,136,0,0.14,0.2482565034061906
611,611,106,GEM Hospital,11,165,0,0.14,0.2733233791017861
612,612,106,GEM Hospital,74,45,0,0.14,0.2738467190814834
613,613,106,GEM Hospital,2,48,0,0.14,0.26863153621533337
614,614,106,GEM Hospital,163,63,0,0.14,0.26735955042432535
615,615,106,GEM Hospital,165,100,0,0.14,0.1879308585335773
616,616,106,GEM Hospital,114,100,0,0.14,0.16803170840514592
617,617,106,GEM Hospital,98,131,0,0.14,0.25480289206360107
618,618,106,GEM Hospital,6,8,0,0.14,0.37094474669489913
619,619,106,GEM Hospital,66,88,0,0.14,0.20257309490382963
620,620,106,GEM Hospital,164,26,0,0.14,0.24817514706825616
621,621,106,GEM Hospital,91,33,0,0.14,0.2174753282058401
622,622,106,GEM Hospital,137,44,0,0.14,0.2242235998104502
623,623,106,GEM Hospital,199,112,0,0.14,0.22395597085149183
624,624,106,GEM Hospital,138,49,0,0.14,0.18607794707801417
625,625,106,GEM Hospital,3,186,0,0.14,0.3147526579987647
626,626,106,GEM Hospital,46,152,0,0.14,0.25452312884804684
627,627,106,GEM Hospital,53,2,0,0.14,0.42209279623528184
628,628,106,GEM Hospital,84,79,0,0.14,0.21745873373194222
629,629,106,GEM Hospital,92,79,0,0.14,0.19924415769090573
630,630,106,GEM Hospital,168,1,0,0.14,0.24434470971626496
631,631,106,GEM Hospital,2,21,0,0.14,0.43636740093324133
632,632,106,GEM Hospital,100,39,0,0.14,0.2063533116779111
633,633,106,GEM Hospital,76,26,0,0.14,0.3195082188127344
634,634,106,GEM Hospital,74,70,0,0.14,0.2555682301895795
635,635,106,GEM Hospital,73,10,0,0.14,0.3431578845431069
636,636,106,GEM Hospital,188,51,0,0.14,0.21867605221051586
637,637,106,GEM Hospital,194,189,0,0.14,0.1479580381877837
638,638,106,GEM Hospital,8,198,0,0.14,0.25710108097092643
639,639,106,GEM Hospital,104,164,0,0.14,0.24230984630701619
640,640,106,GEM Hospital,85,160,0,0.14,0.2963391069753707
641,641,106,GEM Hospital,139,78,0,0.14,0.2035932508630417
642,642,106,GEM Hospital,40,186,0,0.14,0.22493928570508032
643,643,106,GEM Hospital,148,162,0,0.14,0.19071293215720897
644,644,106,GEM Hospital,37,12,0,0.14,0.24375138025885798
645,645,106,GEM Hospital,88,7,0,0.14,0.2404698611572011
646,646,106,GEM Hospital,157,145,0,0.14,0.1950925541257152
647,647,106,GEM Hospital,47,154,0,0.14,0.3439279501445373
648,648,106,GEM Hospital,39,36,0,0.14,0.40375799830996006
649,649,106,GEM Hospital,46,21,0,0.14,0.29333538804510817
650,650,106,GEM Hospital,153,177,1,0.14,0.45578524634580664
651,651,106,GEM Hospital,192,184,1,0.14,0.3899477433094956
652,652,106,GEM Hospital,93,21,1,0.14,0.5467581980638981
653,653,106,GEM Hospital,143,116,1,0.14,0.4464088263411615
654,654,106,GEM Hospital,101,168,1,0.14,0.4498314243777795
655,655,106,GEM Hospital,196,47,1,0.14,0.41815593847654375
656,656,106,GEM Hospital,44,126,1,0.14,0.5090161554395761
657,657,106,GEM Hospital,157,86,1,0.14,0.3926551258136938
658,658,106,GEM Hospital,149,125,1,0.14,0.4708959999530802
659,659,106,GEM Hospital,63,199,1,0.14,0.46786478982577284
660,660,106,GEM Hospital,185,106,1,0.14,0.37318315388588374
661,661,106,GEM Hospital,125,8,1,0.14,0.4690904527728235
662,662,106,GEM Hospital,82,1,1,0.14,0.51735548683237
663,663,106,GEM Hospital,97,28,1,0.14,0.5189164344716527
664,664,106,GEM Hospital,68,48,1,0.14,0.48787955984622816
665,665,106,GEM Hospital,34,51,1,0.14,0.5383043963832983
666,666,106,GEM Hospital,70,200,1,0.14,0.477508991001187
667,667,106,GEM Hospital,95,34,1,0.14,0.43756166201765834
668,668,106,GEM Hospital,5,48,1,0.14,0.6603418032966129
669,669,106,GEM Hospital,56,46,1,0.14,0.4698419778701814
670,670,106,GEM Hospital,18,148,1,0.14,0.5155157312581489
671,671,106,GEM Hospital,81,44,1,0.14,0.563526148596332
672,672,106,GEM Hospital,172,113,1,0.14,0.4299915397317396
673,673,106,GEM Hospital,61,172,1,0.14,0.4217581640121734
674,674,106,GEM Hospital,183,112,1,0.14,0.4390971005139679
675,675,106,GEM Hospital,182,101,1,0.14,0.38865372695241074
676,676,106,GEM Hospital,42,61,1,0.14,0.6034698188434141
677,677,106,GEM Hospital,26,102,1,0.14,0.46811882505843183
678,678,106,GEM Hospital,151,118,1,0.14,0.42740538966163727
679,679,106,GEM Hospital,97,19,1,0.14,0.4129781396740506
680,680,106,GEM Hospital,108,196,1,0.14,0.4155167608340292
681,681,106,GEM Hospital,118,169,1,0.14,0.4151597564012329
682,682,106,GEM Hospital,120,43,1,0.14,0.43353719907594745
683,683,106,GEM Hospital,70,50,1,0.14,0.5280312142512252
684,684,106,GEM Hospital,169,97,1,0.14,0.40196907995570147
685,685,106,GEM Hospital,32,66,1,0.14,0.5445959968546619
686,686,106,GEM Hospital,93,128,1,0.14,0.5453989774320133
687,687,106,GEM Hospital,172,10,1,0.14,0.5052144173126683
688,688,106,GEM Hospital,167,124,1,0.14,0.4037799649938527
689,689,106,GEM Hospital,191,56,1,0.14,0.4144699174527041
690,690,106,GEM Hospital,179,181,1,0.14,0.382938196018899
691,691,106,GEM Hospital,74,115,1,0.14,0.49469528097356735
692,692,106,GEM Hospital,121,103,1,0.14,0.377144702029777
693,693,106,GEM Hospital,85,55,1,0.14,0.5364810041233637
694,694,106,GEM Hospital,139,76,1,0.14,0.4401499554889569
695,695,106,GEM Hospital,184,123,1,0.14,0.41047185118919743
696,696,106,GEM Hospital,100,99,1,0.14,0.4063719287838331
697,697,106,GEM Hospital,11,53,1,0.14,0.568591922050081
698,698,106,GEM Hospital,151,187,1,0.14,0.4444428744302229
699,699,106,GEM Hospital,133,99,1,0.14,0.3880323909245683
700,700,107,KG Hospital,172,160,0,0.49,0.3180409163932075
701,701,107,KG Hospital,150,80,0,0.49,0.24331368592838654
702,702,107,KG Hospital,66,70,0,0.49,0.3663408502780787
703,703,107,KG Hospital,13,11,0,0.49,0.5989175255502918
704,704,107,KG Hospital,39,88,0,0.49,0.40147184838771915
705,705,107,KG Hospital,4,151,0,0.49,0.3703197500203924
706,706,107,KG Hospital,151,197,0,0.49,0.28631721561137125
707,707,107,KG Hospital,66,124,0,0.49,0.30337351681896263
708,708,107,KG Hospital,108,52,0,0.49,0.27561917904413696
709,709,107,KG Hospital,13,129,0,0.49,0.4900025646372648
710,710,107,KG Hospital,143,6,0,0.49,0.3551977079789188
711,711,107,KG Hospital,45,9,0,0.49,0.3834723418566419
712,712,107,KG Hospital,29,85,0,0.49,0.28918299771885536
713,713,107,KG Hospital,124,42,0,0.49,0.3240252537330398
714,714,107,KG Hospital,121,92,0,0.49,0.23397516017399617
715,715,107,KG Hospital,12,39,0,0.49,0.4095830181245408
716,716,107,KG Hospital,174,79,0,0.49,0.28327851184507624
717,717,107,KG Hospital,10,168,0,0.49,0.42996605814434835
718,718,107,KG Hospital,145,125,0,0.49,0.2669167448315544
719,719,107,KG Hospital,126,80,0,0.49,0.27218620858261017
720,720,107,KG Hospital,0,26,0,0.49,0.40328388524153985
721,721,107,KG Hospital,191,22,0,0.49,0.30082200161787914
722,722,107,KG Hospital,17,74,0,0.49,0.32029464771219074
723,723,107,KG Hospital,85,198,0,0.49,0.2623612732792231
724,724,107,KG Hospital,101,29,0,0.49,0.42371409566207174
725,725,107,KG Hospital,57,122,0,0.49,0.28910043933393664
726,726,107,KG Hospital,83,13,0,0.49,0.46841628602966173
727,727,107,KG Hospital,145,32,0,0.49,0.347163590868306
728,728,107,KG Hospital,92,9,0,0.49,0.45677992059345396
729,729,107,KG Hospital,69,178,0,0.49,0.33975201496287144
730,730,107,KG Hospital,145,157,0,0.49,0.24943487725394803
731,731,107,KG Hospital,187,12,0,0.49,0.33377648869786
732,732,107,KG Hospital,152,197,0,0.49,0.28086263792150573
733,733,107,KG Hospital,80,170,0,0.49,0.3119880483340071
734,734,107,KG Hospital,92,5,0,0.49,0.3643119244914632
735,735,107,KG Hospital,196,127,0,0.49,0.2823134391020464
736,736,107,KG Hospital,33,42,0,0.49,0.4127336895698007
737,737,107,KG Hospital,183,113,0,0.49,0.2849355760971659
738,738,107,KG Hospital,90,70,0,0.49,0.30561162372274864
739,739,107,KG Hospital,179,1,0,0.49,0.38403171954326154
740,740,107,KG Hospital,5,142,0,0.49,0.4354874600984885
741,741,107,KG Hospital,31,108,0,0.49,0.379380676795922
742,742,107,KG Hospital,124,120,0,0.49,0.31251035191125076
743,743,107,KG Hospital,16,3,0,0.49,0.38003410491723033
744,744,107,KG Hospital,30,115,0,0.49,0.33192054647972835
745,745,107,KG Hospital,169,190,0,0.49,0.251135538888915
746,746,107,KG Hospital,175,73,0,0.49,0.2971352933527679
747,747,107,KG Hospital,68,106,0,0.49,0.26432284311252546
748,748,107,KG Hospital,15,143,0,0.49,0.469396982036566
749,749,107,KG Hospital,131,66,0,0.49,0.2584404416023238
750,750,107,KG Hospital,76,150,1,0.49,0.572606490246042
751,751,107,KG Hospital,98,115,1,0.49,0.4964289076149108
752,752,107,KG Hospital,70,13,1,0.49,0.5376031373505722
753,753,107,KG Hospital,76,82,1,0.49,0.5169911373442976
754,754,107,KG Hospital,44,199,1,0.49,0.5153382537191115
755,755,107,KG Hospital,185,7,1,0.49,0.6224448593648384
756,756,107,KG Hospital,67,120,1,0.49,0.6129651864078394
757,757,107,KG Hospital,95,95,1,0.49,0.49224547864940926
758,758,107,KG Hospital,161,47,1,0.49,0.47231434079277423
759,759,107,KG Hospital,5,126,1,0.49,0.7107090319771014
760,760,107,KG Hospital,60,37,1,0.49,0.5856399183335501
761,761,107,KG Hospital,42,62,1,0.49,0.5845452409504551
762,762,107,KG Hospital,164,26,1,0.49,0.5976362394708136
763,763,107,KG Hospital,80,191,1,0.49,0.4959609323422691
764,764,107,KG Hospital,124,102,1,0.49,0.4813847069440002
765,765,107,KG Hospital,144,24,1,0.49,0.5557405931520172
766,766,107,KG Hospital,125,68,1,0.49,0.4772885867960923
767,767,107,KG Hospital,145,9,1,0.49,0.5868329612242608
768,768,107,KG Hospital,134,19,1,0.49,0.5380715034001746
769,769,107,KG Hospital,30,12,1,0.49,0.6952658901213267
770,770,107,KG Hospital,149,15,1,0.49,0.5114278987246785
771,771,107,KG Hospital,135,130,1,0.49,0.5294533862413557
772,772,107,KG Hospital,167,171,1,0.49,0.4702047031411613
773,773,107,KG Hospital,150,129,1,0.49,0.5470832847307509
774,774,107,KG Hospital,72,90,1,0.49,0.4569144567521848
775,775,107,KG Hospital,28,129,1,0.49,0.5726379673410835
776,776,107,KG Hospital,2,52,1,0.49,0.5638731718631939
777,777,107,KG Hospital,136,197,1,0.49,0.48848265130394186
778,778,107,KG Hospital,34,161,1,0.49,0.578729710964957
779,779,107,KG Hospital,164,55,1,0.49,0.5877418379439486
780,780,107,KG Hospital,96,11,1,0.49,0.6596830274096084
781,781,107,KG Hospital,109,146,1,0.49,0.5853804607082481
782,782,107,KG Hospital,20,190,1,0.49,0.5466618621403457
783,783,107,KG Hospital,118,95,1,0.49,0.5162031141182831
784,784,107,KG Hospital,56,116,1,0.49,0.7035832826347752
785,785,107,KG Hospital,22,120,1,0.49,0.6532425322185134
786,786,107,KG Hospital,135,150,1,0.49,0.5136446117745428
787,787,107,KG Hospital,199,176,1,0.49,0.46775171680230077
788,788,107,KG Hospital,79,178,1,0.49,0.5407548335138457
789,789,107,KG Hospital,172,114,1,0.49,0.5573383286084156
790,790,107,KG Hospital,128,40,1,0.49,0.516498991936707
791,791,107,KG Hospital,39,168,1,0.49,0.538285168949922
792,792,107,KG Hospital,122,92,1,0.49,0.49867241811058516
793,793,107,KG Hospital,167,0,1,0.49,0.5190566978490807
794,794,107,KG Hospital,191,27,1,0.49,0.5520897161444012
795,795,107,KG Hospital,125,133,1,0.49,0.5427339987961378
796,796,107,KG Hospital,12,72,1,0.49,0.6284271145587949
797,797,107,KG Hospital,187,180,1,0.49,0.4717450823215568
798,798,107,KG Hospital,184,57,1,0.49,0.5367322602319189
799,799,107,KG Hospital,96,164,1,0.49,0.5381655147195165
800,800,108,Kongunadu Hospital,116,112,0,0.36,0.326106744838794
801,801,108,Kongunadu Hospital,51,143,0,0.36,0.3384432591870723
802,802,108,Kongunadu Hospital,144,133,0,0.36,0.2767117194034642
803,803,108,Kongunadu Hospital,117,52,0,0.36,0.3016596048761758
804,804,108,Kongunadu Hospital,144,14,0,0.36,0.31129067315761827
805,805,108,Kongunadu Hospital,66,80,0,0.36,0.2992224111544356
806,806,108,Kongunadu Hospital,90,187,0,0.36,0.29487078217457574
807,807,108,Kongunadu Hospital,179,142,0,0.36,0.2184942903917388
808,808,108,Kongunadu Hospital,156,189,0,0.36,0.22719459386590646
809,809,108,Kongunadu Hospital,179,122,0,0.36,0.27310024652481163
810,810,108,Kongunadu Hospital,167,67,0,0.36,0.28117605400999124
811,811,108,Kongunadu Hospital,7,101,0,0.36,0.3119360869282
812,812,108,Kongunadu Hospital,6,44,0,0.36,0.5085804384245256
813,813,108,Kongunadu Hospital,75,128,0,0.36,0.26586091831047115
814,814,108,Kongunadu Hospital,74,178,0,0.36,0.294394500410041
815,815,108,Kongunadu Hospital,147,125,0,0.36,0.26078126420960207
816,816,108,Kongunadu Hospital,105,23,0,0.36,0.2593176536954742
817,817,108,Kongunadu Hospital,35,161,0,0.36,0.32752229272062167
818,818,108,Kongunadu Hospital,20,176,0,0.36,0.3035729153619639
819,819,108,Kongunadu Hospital,109,19,0,0.36,0.39229031852045027
820,820,108,Kongunadu Hospital,173,192,0,0.36,0.20336080825146127
821,821,108,Kongunadu Hospital,53,119,0,0.36,0.40124657460240787
822,822,108,Kongunadu Hospital,130,49,0,0.36,0.2705051631181257
823,823,108,Kongunadu Hospital,13,40,0,0.36,0.36331608258512293
824,824,108,Kongunadu Hospital,195,192,0,0.36,0.19690110774930014
825,825,108,Kongunadu Hospital,22,80,0,0.36,0.3751971495430747
826,826,108,Kongunadu Hospital,138,148,0,0.36,0.2288366860527983
827,827,108,Kongunadu Hospital,19,33,0,0.36,0.473516115342766
828,828,108,Kongunadu Hospital,68,108,0,0.36,0.2713344107181579
829,829,108,Kongunadu Hospital,95,198,0,0.36,0.24075894534172443
830,830,108,Kongunadu Hospital,81,40,0,0.36,0.2903869553725536
831,831,108,Kongunadu Hospital,24,59,0,0.36,0.415680054563601
